Index: 216, True Label: 1, Predicted Label: 1, Filename: windu4_rotated_180_denoised_removal_gray.jpg
Index: 250, True Label: 1, Predicted Label: 1, Filename: windu5_rotated_130_denoised_removal_gray.jpg
Index: 148, True Label: 1, Predicted Label: 1, Filename: windu6_rotated_250_denoised_removal_gray.jpg
Index: 48, True Label: 1, Predicted Label: 1, Filename: windu6_rotated_200_denoised_removal_gray.jpg
Index: 72, True Label: 1, Predicted Label: 1, Filename: windu6_rotated_70_denoised_removal_gray.jpg
Index: 264, True Label: 1, Predicted Label: 1, Filename: windu2_rotated_160_denoised_removal_gray.jpg
Index: 147, True Label: 1, Predicted Label: 1, Filename: windu6_rotated_50_denoised_removal_gray.jpg
Index: 105, True Label: 1, Predicted Label: 1, Filename: windu3_original_denoised_removal_gray.jpg
Index: 301, True Label: 1, Predicted Label: 1, Filename: windu3_rotated_140_denoised_removal_gray.jpg
Index: 269, True Label: 1, Predicted Label: 1, Filename: windu3_rotated_50_denoised_removal_gray.jpg
Index: 278, True Label: 1, Predicted Label: 1, Filename: windu4_original_denoised_removal_gray.jpg
Index: 195, True Label: 1, Predicted Label: 1, Filename: windu6_rotated_40_denoised_removal_gray.jpg
Index: 109, True Label: 1, Predicted Label: 1, Filename: windu5_rotated_100_denoised_removal_gray.jpg
Index: 318, True Label: 1, Predicted Label: 1, Filename: windu5_rotated_70_denoised_removal_gray.jpg
Index: 3, True Label: 1, Predicted Label: 1, Filename: windu3_rotated_250_denoised_removal_gray.jpg
Index: 311, True Label: 1, Predicted Label: 1, Filename: windu2_rotated_110_denoised_removal_gray.jpg
Index: 178, True Label: 1, Predicted Label: 1, Filename: windu3_rotated_160_denoised_removal_gray.jpg
Index: 314, True Label: 1, Predicted Label: 1, Filename: windu2_rotated_140_denoised_removal_gray.jpg
Index: 220, True Label: 1, Predicted Label: 1, Filename: windu4_rotated_250_denoised_removal_gray.jpg
Index: 331, True Label: 1, Predicted Label: 1, Filename: windu5_rotated_150_denoised_removal_gray.jpg
Index: 280, True Label: 1, Predicted Label: 1, Filename: windu2_rotated_70_denoised_removal_gray.jpg
Index: 279, True Label: 1, Predicted Label: 1, Filename: windu4_rotated_110_denoised_removal_gray.jpg
Index: 73, True Label: 1, Predicted Label: 1, Filename: windu2_rotated_180_denoised_removal_gray.jpg
Index: 27, True Label: 1, Predicted Label: 1, Filename: windu3_rotated_10_denoised_removal_gray.jpg
Index: 103, True Label: 1, Predicted Label: 1, Filename: windu4_rotated_80_denoised_removal_gray.jpg
Index: 128, True Label: 1, Predicted Label: 1, Filename: windu6_rotated_10_denoised_removal_gray.jpg
Index: 247, True Label: 1, Predicted Label: 1, Filename: windu6_rotated_110_denoised_removal_gray.jpg
Index: 212, True Label: 1, Predicted Label: 1, Filename: windu2_rotated_10_denoised_removal_gray.jpg
Index: 257, True Label: 1, Predicted Label: 1, Filename: windu3_rotated_100_denoised_removal_gray.jpg
Index: 116, True Label: 1, Predicted Label: 1, Filename: windu5_rotated_140_denoised_removal_gray.jpg
Index: 333, True Label: 1, Predicted Label: 1, Filename: windu4_rotated_30_denoised_removal_gray.jpg
