Index: 246, True Label: 0, Predicted Label: 0, Filename: udang6_rotated_80_denoised_removal_gray.jpg
Index: 285, True Label: 0, Predicted Label: 0, Filename: udang7_rotated_40_denoised_removal_gray.jpg
Index: 312, True Label: 0, Predicted Label: 0, Filename: udang4_flipped_v_denoised_removal_gray.jpg
Index: 123, True Label: 0, Predicted Label: 0, Filename: udang4_rotated_230_denoised_removal_gray.jpg
Index: 107, True Label: 0, Predicted Label: 0, Filename: udang4_rotated_20_denoised_removal_gray.jpg
Index: 192, True Label: 0, Predicted Label: 0, Filename: udang6_rotated_10_denoised_removal_gray.jpg
Index: 100, True Label: 0, Predicted Label: 0, Filename: udang4_rotated_80_denoised_removal_gray.jpg
Index: 335, True Label: 0, Predicted Label: 0, Filename: udang9_flipped_v_denoised_removal_gray.jpg
Index: 117, True Label: 0, Predicted Label: 0, Filename: udang5_rotated_100_denoised_removal_gray.jpg
Index: 98, True Label: 0, Predicted Label: 0, Filename: udang6_rotated_260_denoised_removal_gray.jpg
Index: 160, True Label: 0, Predicted Label: 0, Filename: udang4_rotated_140_denoised_removal_gray.jpg
Index: 43, True Label: 0, Predicted Label: 0, Filename: udang6_rotated_0_denoised_removal_gray.jpg
Index: 114, True Label: 0, Predicted Label: 0, Filename: udang5_rotated_140_denoised_removal_gray.jpg
Index: 295, True Label: 0, Predicted Label: 0, Filename: udang8_rotated_30_denoised_removal_gray.jpg
Index: 338, True Label: 0, Predicted Label: 0, Filename: udang9_rotated_200_denoised_removal_gray.jpg
Index: 235, True Label: 0, Predicted Label: 0, Filename: udang4_rotated_30_denoised_removal_gray.jpg
Index: 76, True Label: 0, Predicted Label: 0, Filename: udang5_rotated_240_denoised_removal_gray.jpg
Index: 289, True Label: 0, Predicted Label: 0, Filename: udang4_rotated_180_denoised_removal_gray.jpg
Index: 324, True Label: 0, Predicted Label: 0, Filename: udang4_rotated_50_denoised_removal_gray.jpg
Index: 2, True Label: 0, Predicted Label: 0, Filename: udang8_rotated_230_denoised_removal_gray.jpg
Index: 104, True Label: 0, Predicted Label: 0, Filename: udang8_flipped_v_denoised_removal_gray.jpg
Index: 238, True Label: 0, Predicted Label: 0, Filename: udang4_rotated_250_denoised_removal_gray.jpg
Index: 282, True Label: 0, Predicted Label: 0, Filename: udang9_rotated_70_denoised_removal_gray.jpg
Index: 185, True Label: 0, Predicted Label: 0, Filename: udang7_rotated_180_denoised_removal_gray.jpg
Index: 181, True Label: 0, Predicted Label: 0, Filename: udang6_rotated_30_denoised_removal_gray.jpg
Index: 211, True Label: 0, Predicted Label: 0, Filename: udang5_rotated_50_denoised_removal_gray.jpg
Index: 157, True Label: 0, Predicted Label: 0, Filename: udang6_rotated_150_denoised_removal_gray.jpg
Index: 138, True Label: 0, Predicted Label: 0, Filename: udang6_rotated_190_denoised_removal_gray.jpg
Index: 223, True Label: 0, Predicted Label: 0, Filename: udang6_rotated_220_denoised_removal_gray.jpg
Index: 39, True Label: 0, Predicted Label: 0, Filename: udang8_rotated_140_denoised_removal_gray.jpg
Index: 135, True Label: 0, Predicted Label: 0, Filename: udang7_rotated_20_denoised_removal_gray.jpg
Index: 190, True Label: 0, Predicted Label: 0, Filename: udang9_rotated_240_denoised_removal_gray.jpg
Index: 25, True Label: 0, Predicted Label: 0, Filename: udang5_rotated_230_denoised_removal_gray.jpg
Index: 169, True Label: 0, Predicted Label: 0, Filename: udang4_rotated_220_denoised_removal_gray.jpg
Index: 328, True Label: 0, Predicted Label: 0, Filename: udang9_rotated_100_denoised_removal_gray.jpg
Index: 184, True Label: 0, Predicted Label: 0, Filename: udang6_flipped_v_denoised_removal_gray.jpg
